source,target,nonrsp_coef_mean,prp_coef_mean
Fos,Apoe,0.47106627,
Fos,Dusp1,0.25939286,0.059423517
Fos,Fosb,0.19497184,0.07858511
Fos,Actg2,0.17941718,0.058037948
Fos,Junb,0.15790744,0.06394253
Fos,Jun,0.15733933,0.112068355
Fos,Gadd45g,0.15336601,0.04156542
Fos,Gadd45b,0.14737846,0.062423594
Fos,Fxyd5,-0.14719443,-0.06599249
Fos,Fabp4,0.13993225,
Fos,Egr1,0.13900697,0.075475976
Fos,Fn1,-0.12978685,
Fos,Cald1,-0.12907746,
Fos,Ccdc3,-0.124741636,0.04872516
Fos,Ppp1r14a,0.12323356,0.06441833
Fos,Rgs5,0.11850398,
Fos,Rasl11a,0.100088134,
Fos,2210407C18Rik,0.09549003,0.10545986
Fos,Atf3,0.09328151,0.054046348
Fos,Wif1,0.09217196,
Fos,Col15a1,-0.09189337,0.07044501
Fos,Slc38a2,0.0885791,
Fos,Ier3,0.08759866,0.041746434
Fos,Tmsb10,-0.086504735,
Fos,Myh10,-0.08649251,
Fos,Rasl11b,0.08549267,
Fos,Itih4,0.08402302,0.049739566
Fos,Cidea,0.08353361,
Fos,Tes,0.08248414,
Fos,Mfap4,0.081185706,0.06685881
Fos,Nfkbia,0.080096595,0.054215252
Fos,Sh3bgr,0.07745921,0.062420685
Fos,Lgals3,-0.07508033,
Fos,Rbp4,0.071334206,
Fos,Cped1,-0.06982239,
Fos,S100a4,-0.06977002,
Fos,Mgp,-0.06878923,
Fos,Dkk3,-0.06675234,
Fos,Rarres2,0.066166505,
Fos,Cd109,-0.06614034,
Fos,Meg3,-0.065480836,
Fos,Plod2,-0.06421641,
Fos,Tnfrsf12a,-0.063597895,
Fos,Casq1,0.06259368,
Fos,Id1,0.05943864,
Fos,Tinagl1,0.05727381,
Fos,Sat1,0.05725943,
Fos,Htra3,0.056724552,
Fos,Fgl2,-0.056672156,
Fos,Hsph1,0.05546172,
Fos,Anxa1,-0.054760188,
Fos,Itgbl1,-0.053876594,
Fos,Hspa1a,-0.053039063,
Fos,Arl4a,-0.052938543,
Fos,Sulf1,-0.052204054,
Fos,Cebpd,0.05195467,
Fos,Dhrs3,0.05168359,
Fos,Prex2,-0.051321123,
Fos,Asb2,0.051054608,
Fos,Gem,0.05041706,
Fos,Nupr1,-0.04999832,
Fos,Plcb4,-0.049609866,
Fos,Optc,0.04941216,
Fos,Tagln,0.04916995,0.05943528
Fos,Lars2,-0.0490859,
Fos,Fbxl22,0.048824184,
Fos,Adamts1,0.048722465,
Fos,Ubc,0.048389338,
Fos,Ifitm3,0.048321147,
Fos,Haus8,0.04831847,
Fos,Ccdc80,-0.047899943,
Fos,Tubb4b,0.047450785,
Fos,Carmn,-0.04716797,
Fos,Ier2,0.04677006,
Fos,Ckb,0.04618277,0.040541146
Fos,Lmcd1,-0.046017446,
Fos,Gata6,0.045504548,
Fos,Des,0.045452103,
Fos,Nrtn,-0.04531772,
Fos,Csrp1,0.04517072,
Fos,Sncg,-0.044986915,
Fos,Acan,-0.04455583,
Fos,Crip1,0.044388834,
Fos,Gucy1b1,0.04433223,
Fos,Tuba1a,0.044175316,
Fos,1190005I06Rik,0.044139773,
Fos,Sgk1,0.043435387,
Fos,Crlf1,-0.043381993,
Fos,Ramp1,-0.04325852,
Fos,Hes1,0.043208327,
Fos,Timp3,-0.04300275,
Fos,Prpf4b,-0.04158425,
Fos,Atf5,0.041548226,-0.04203612
Fos,Col3a1,-0.041398976,
Fos,Tbxa2r,0.041327003,
Fos,Synpo2,0.041186966,
Fos,Ankrd12,-0.04113799,
Fos,Col6a3,-0.040999606,
Fos,Plat,-0.040769838,
Fos,Crtc3,-0.04041879,
Fos,Id2,0.040057197,
Fos,Lbh,-0.0399073,
Fos,Cryab,0.03983556,
Fos,Rspo3,-0.039615612,
Fos,Tuba1b,0.039596748,
Fos,Myl9,0.03953751,
Fos,Lmo4,0.039521582,
Fos,Kazald1,-0.03935548,
Fos,Osr1,0.03909251,
Fos,Id3,0.038706206,
Fos,Ank,-0.038534697,
Fos,Nr4a1,0.038406674,
Fos,Hbegf,-0.037699763,
Fos,Nkd1,0.037643574,
Fos,Atp1b1,-0.03740119,
Fos,Unc119,0.037077297,
Fos,Serpinb6b,-0.036840264,
Fos,Col5a1,-0.036514767,
Fos,Cdo1,-0.03629711,
Fos,Col14a1,-0.03628356,
Fos,Smad6,0.036197748,
Fos,Fas,0.035897315,
Fos,4631405J19Rik,0.03561025,
Fos,Adm,0.035443284,
Fos,Cdkn1a,-0.035339266,-0.06934693
Fos,Tubb5,0.034869265,
Fos,Mef2c,-0.034377012,
Fos,H3f3b,0.03377094,
Fos,Clu,-0.033660438,-0.04678628
Fos,Myoz2,0.03349387,
Fos,Ttc28,0.03348243,
Fos,Wnt16,-0.03327804,
Fos,Bax,,-0.122108325
Fos,Phlda3,,-0.091620915
Fos,Vmp1,,-0.08562991
Fos,Cldn3,,-0.069466695
Fos,Timp1,,-0.061298184
Fos,Cxcl12,,-0.060335718
Fos,Bdh2,,-0.057657402
Fos,Esm1,,0.052841187
Fos,Lox,,0.049704384
Fos,Smoc2,,-0.04863113
Fos,Tpm4,,-0.042722397
Fos,Eln,,0.041748498
Fos,S100a10,,-0.041295268
Fos,Dcxr,,-0.040320307
Foxs1,Tcap,-0.30255046,
Foxs1,Col15a1,0.100289695,0.08611238
Foxs1,S100a4,0.095113695,0.1543432
Foxs1,Tnfrsf12a,0.09442955,0.07130564
Foxs1,Fbxl22,-0.08921033,
Foxs1,Ogn,-0.07818731,
Foxs1,Prss23,0.07752674,0.04395446
Foxs1,Lmcd1,0.0737821,
Foxs1,Dbp,-0.06946787,
Foxs1,S100a10,0.06877542,0.08291921
Foxs1,Eln,0.06868019,0.06020038
Foxs1,Anxa2,0.06305737,0.071283266
Foxs1,Ppp1r14a,-0.059684634,0.08075365
Foxs1,Id1,0.058261737,0.052334297
Foxs1,Anxa1,0.058201212,
Foxs1,Col1a1,0.056543548,0.054826647
Foxs1,Nupr1,0.05499516,0.04045586
Foxs1,Stbd1,-0.05234764,
Foxs1,Tppp3,0.05230377,
Foxs1,Rgs4,0.05075447,
Foxs1,Sparc,0.05063875,0.04146285
Foxs1,Itga5,0.04811533,
Foxs1,Lrrc17,-0.04710383,
Foxs1,Smim5,-0.046397578,
Foxs1,Wif1,0.046019584,
Foxs1,Acan,0.044773422,0.10630001
Foxs1,Gucy1a1,-0.044421893,
Foxs1,Hbegf,0.04076953,0.075330384
Foxs1,Hsp90aa1,0.039581362,
Foxs1,Map2k3,0.039558254,
Foxs1,Postn,0.039521743,
Foxs1,Col5a2,0.038795922,
Foxs1,Msrb1,-0.03827553,0.08406137
Foxs1,Serpine1,0.037693363,0.0411824
Foxs1,Fn1,0.037322167,
Foxs1,Plod2,0.035530705,
Foxs1,1190005I06Rik,-0.03527201,
Foxs1,Ier3,-0.034261756,
Foxs1,Cd109,0.034168787,0.047294457
Foxs1,Islr,0.03415091,
Foxs1,Fbxo32,-0.034123685,
Foxs1,Ifitm3,-0.03399498,
Foxs1,Ank,0.033870067,
Foxs1,Fos,-0.033841126,
Foxs1,Atf3,-0.0336429,
Foxs1,Bik,0.033520326,
Foxs1,Lum,,-0.24204776
Foxs1,Mt1,,-0.15319264
